reference,amount,type,date,year
2033,-6705.0,Groceries,2000-02-15,2000
6989,5283.0,Tips,2000-02-16,2000
6310,6111.0,Other,2000-02-16,2000
7393,-7117.0,Health Insurance,2000-02-16,2000
3065,1417.0,Salary,2000-02-17,2000
9688,-5741.0,Health Insurance,2000-02-17,2000
5516,6898.0,Other,2000-02-18,2000
7579,-9227.0,Subscriptions,2000-02-21,2000
8766,-5410.0,Groceries,2000-02-21,2000
1144,-8713.0,Food,2000-02-22,2000
3175,-8844.0,Groceries,2000-02-24,2000
4336,9788.0,Tips,2000-02-24,2000
2021,-8573.0,Leisure,2000-02-25,2000
8911,-3907.0,Investments,2000-02-26,2000
6221,7934.0,Tips,2000-02-27,2000
4512,7299.0,Salary,2000-02-29,2000
7901,9135.0,Tips,2000-02-29,2000
4929,-4728.0,Investments,2000-03-02,2000
5794,5631.0,Tips,2000-03-03,2000
2977,5891.0,Other,2000-03-04,2000
9968,-5571.0,Leisure,2000-03-07,2000
3402,1733.0,Tips,2000-03-09,2000
974,-8902.0,Leisure,2000-03-13,2000
7859,-6252.0,Groceries,2000-03-17,2000
4102,6419.0,Other,2000-03-17,2000
2797,3389.0,Salary,2000-03-18,2000
129,3913.0,Tips,2000-03-18,2000
8173,-1871.0,Subscriptions,2000-03-25,2000
5200,8875.0,Other,2000-03-26,2000
3497,5813.0,Other,2000-03-27,2000
6736,7738.0,Tips,2000-03-28,2000
2638,235.0,Salary,2000-03-28,2000
2172,6413.0,Other,2000-03-28,2000
907,-5092.0,Subscriptions,2000-03-29,2000
3823,-6340.0,Subscriptions,2000-03-30,2000
3435,8061.0,Other,2000-03-31,2000
574,61.0,Other,2000-03-31,2000
6387,-1268.0,Health Insurance,2000-04-02,2000
3446,3057.0,Other,2000-04-03,2000
5527,-848.0,Health Insurance,2000-04-03,2000
1108,-7695.0,Subscriptions,2000-04-05,2000
9450,-9516.0,Investments,2000-04-06,2000
6531,6204.0,Tips,2000-04-07,2000
7666,1844.0,Other,2000-04-08,2000
3551,-2337.0,Food,2000-04-08,2000
6125,-6348.0,Investments,2000-04-10,2000
8204,2471.0,Salary,2000-04-11,2000
4294,-4937.0,Leisure,2000-04-12,2000
4032,4391.0,Other,2000-04-14,2000
1372,5998.0,Salary,2000-04-14,2000
4958,2284.0,Other,2000-04-15,2000
4326,-5449.0,Health Insurance,2000-04-20,2000
9490,-6083.0,Health Insurance,2000-04-20,2000
7866,-7373.0,Subscriptions,2000-04-20,2000
8118,-631.0,Subscriptions,2000-04-22,2000
9746,9189.0,Salary,2000-04-22,2000
2068,-8462.0,Groceries,2000-04-23,2000
4899,-4583.0,Health Insurance,2000-04-23,2000
4635,-1246.0,Leisure,2000-04-24,2000
2187,-2803.0,Health Insurance,2000-04-24,2000
6307,6997.0,Salary,2000-04-25,2000
6720,8418.0,Salary,2000-04-25,2000
7623,274.0,Tips,2000-04-26,2000
9884,-6464.0,Investments,2000-04-28,2000
8798,-5443.0,Groceries,2000-04-28,2000
5696,-6194.0,Leisure,2000-04-29,2000
2585,-1029.0,Health Insurance,2000-04-29,2000
9189,-9256.0,Leisure,2000-04-29,2000
9891,4220.0,Tips,2000-04-30,2000
1172,-5067.0,Investments,2000-05-01,2000
1501,-7790.0,Groceries,2000-05-03,2000
6390,-743.0,Investments,2000-05-05,2000
5646,3431.0,Salary,2000-05-05,2000
9615,2739.0,Salary,2000-05-06,2000
564,5478.0,Tips,2000-05-07,2000
435,488.0,Salary,2000-05-07,2000
9645,-8293.0,Investments,2000-05-09,2000
8783,2202.0,Other,2000-05-12,2000
9302,5657.0,Tips,2000-05-13,2000
3407,5789.0,Other,2000-05-13,2000
6266,8911.0,Other,2000-05-14,2000
5677,7088.0,Tips,2000-05-15,2000
358,-5523.0,Food,2000-05-15,2000
4693,1767.0,Salary,2000-05-16,2000
9473,8048.0,Other,2000-05-16,2000
9985,-4411.0,Food,2000-05-16,2000
9512,-4554.0,Subscriptions,2000-05-17,2000
6119,1259.0,Tips,2000-05-18,2000
2518,-2878.0,Health Insurance,2000-05-19,2000
9628,-7218.0,Food,2000-05-19,2000
5415,5482.0,Salary,2000-05-19,2000
6163,-7172.0,Groceries,2000-05-22,2000
9667,-9718.0,Groceries,2000-05-23,2000
3151,8528.0,Tips,2000-05-24,2000
8686,4898.0,Tips,2000-05-24,2000
6065,1074.0,Salary,2000-05-25,2000
8552,2739.0,Salary,2000-05-25,2000
6884,-8662.0,Subscriptions,2000-05-26,2000
275,-7904.0,Food,2000-05-26,2000
3232,7909.0,Salary,2000-05-27,2000
2211,9541.0,Salary,2000-05-27,2000
6904,3729.0,Salary,2000-05-28,2000
7205,-3618.0,Investments,2000-05-31,2000
8641,1382.0,Salary,2000-06-01,2000
4735,-828.0,Groceries,2000-06-01,2000
123,7702.0,Tips,2000-06-02,2000
1045,9809.0,Salary,2000-06-02,2000
6922,-8611.0,Groceries,2000-06-02,2000
8489,7928.0,Tips,2000-06-03,2000
9200,1730.0,Salary,2000-06-03,2000
8412,-3310.0,Investments,2000-06-04,2000
100,-3430.0,Subscriptions,2000-06-04,2000
254,9926.0,Other,2000-06-05,2000
2517,9886.0,Other,2000-06-05,2000
1416,6749.0,Other,2000-06-06,2000
413,7518.0,Tips,2000-06-07,2000
7314,-4059.0,Health Insurance,2000-06-08,2000
5275,-2120.0,Food,2000-06-08,2000
1995,5094.0,Salary,2000-06-08,2000
9361,7363.0,Salary,2000-06-09,2000
5281,-283.0,Health Insurance,2000-06-10,2000
9108,9992.0,Other,2000-06-13,2000
1015,-6595.0,Groceries,2000-06-14,2000
1243,-2063.0,Health Insurance,2000-06-17,2000
4927,-4565.0,Subscriptions,2000-06-17,2000
6890,-3980.0,Food,2000-06-19,2000
5622,975.0,Tips,2000-06-20,2000
7840,2501.0,Other,2000-06-21,2000
3422,3659.0,Other,2000-06-21,2000
1358,-4567.0,Food,2000-06-21,2000
5450,2236.0,Tips,2000-06-22,2000
1168,6903.0,Salary,2000-06-24,2000
8761,-1679.0,Investments,2000-06-25,2000
5418,7380.0,Tips,2000-06-25,2000
4406,-9345.0,Investments,2000-06-26,2000
9887,-5627.0,Health Insurance,2000-06-26,2000
363,-5962.0,Investments,2000-06-27,2000
6170,-9056.0,Groceries,2000-06-27,2000
8097,6671.0,Other,2000-06-28,2000
5556,3872.0,Salary,2000-06-29,2000
5112,5104.0,Salary,2000-07-01,2000
3941,3370.0,Other,2000-07-03,2000
5839,2353.0,Tips,2000-07-03,2000
4036,-4224.0,Subscriptions,2000-07-05,2000
4609,-641.0,Subscriptions,2000-07-05,2000
3930,7663.0,Salary,2000-07-06,2000
1241,8767.0,Other,2000-07-07,2000
3406,-9292.0,Food,2000-07-07,2000
2341,-7384.0,Health Insurance,2000-07-08,2000
6014,6497.0,Salary,2000-07-10,2000
1178,4579.0,Tips,2000-07-10,2000
204,2701.0,Salary,2000-07-11,2000
7226,-6109.0,Food,2000-07-12,2000
6658,-6648.0,Subscriptions,2000-07-12,2000
9831,-2906.0,Investments,2000-07-12,2000
3860,-40.0,Health Insurance,2000-07-13,2000
6505,-5987.0,Subscriptions,2000-07-14,2000
948,9646.0,Other,2000-07-14,2000
9482,-2958.0,Food,2000-07-14,2000
9082,98.0,Tips,2000-07-14,2000
8443,2265.0,Other,2000-07-16,2000
3987,5588.0,Salary,2000-07-17,2000
1886,1820.0,Tips,2000-07-17,2000
4068,-5936.0,Groceries,2000-07-18,2000
2947,4372.0,Tips,2000-07-19,2000
3466,-8505.0,Food,2000-07-22,2000
8451,-9613.0,Investments,2000-07-22,2000
8197,-8984.0,Food,2000-07-23,2000
5194,-9749.0,Groceries,2000-07-23,2000
3513,-579.0,Leisure,2000-07-23,2000
7497,8050.0,Tips,2000-07-26,2000
6741,-8569.0,Subscriptions,2000-07-27,2000
3918,668.0,Other,2000-07-28,2000
8339,4540.0,Tips,2000-07-28,2000
3439,9677.0,Other,2000-07-28,2000
9567,-8026.0,Health Insurance,2000-07-29,2000
5807,-5187.0,Health Insurance,2000-07-31,2000
5816,-919.0,Groceries,2000-08-02,2000
6192,8466.0,Tips,2000-08-02,2000
3341,373.0,Other,2000-08-04,2000
299,7843.0,Tips,2000-08-05,2000
491,3996.0,Tips,2000-08-09,2000
8971,6256.0,Salary,2000-08-09,2000
3885,-7405.0,Investments,2000-08-09,2000
1080,-3748.0,Leisure,2000-08-10,2000
2000,1415.0,Tips,2000-08-10,2000
8345,-3514.0,Subscriptions,2000-08-10,2000
9143,-304.0,Investments,2000-08-11,2000
7080,-7801.0,Food,2000-08-13,2000
8734,7250.0,Salary,2000-08-13,2000
7303,-6701.0,Leisure,2000-08-13,2000
3669,6769.0,Tips,2000-08-14,2000
1793,-7600.0,Groceries,2000-08-14,2000
8924,152.0,Other,2000-08-15,2000
6472,6210.0,Tips,2000-08-16,2000
8169,-1693.0,Food,2000-08-16,2000
8753,-6717.0,Food,2000-08-19,2000
7065,-1791.0,Leisure,2000-08-19,2000
8369,4558.0,Salary,2000-08-19,2000
9585,4512.0,Tips,2000-08-20,2000
5749,-5895.0,Health Insurance,2000-08-20,2000
6957,6330.0,Salary,2000-08-22,2000
2557,-5582.0,Groceries,2000-08-22,2000
8021,6123.0,Other,2000-08-23,2000
900,-2757.0,Health Insurance,2000-08-24,2000
526,7176.0,Salary,2000-08-24,2000
1716,-7713.0,Investments,2000-08-25,2000
8706,-7203.0,Subscriptions,2000-08-26,2000
5382,4186.0,Salary,2000-08-26,2000
9153,-3910.0,Health Insurance,2000-08-26,2000
9864,-7137.0,Food,2000-08-27,2000
1378,2331.0,Other,2000-08-27,2000
2676,4679.0,Salary,2000-08-29,2000
7061,-203.0,Groceries,2000-08-30,2000
8618,8379.0,Other,2000-08-30,2000
9806,-7818.0,Food,2000-09-01,2000
992,7201.0,Other,2000-09-01,2000
5836,-4174.0,Food,2000-09-01,2000
7126,4728.0,Tips,2000-09-02,2000
5205,7885.0,Other,2000-09-04,2000
4669,7287.0,Salary,2000-09-04,2000
6428,6278.0,Tips,2000-09-07,2000
2398,-8011.0,Investments,2000-09-08,2000
9693,-1987.0,Subscriptions,2000-09-09,2000
5695,-7646.0,Investments,2000-09-10,2000
1313,7434.0,Tips,2000-09-10,2000
8123,9808.0,Other,2000-09-11,2000
5005,7398.0,Salary,2000-09-11,2000
3393,7707.0,Tips,2000-09-12,2000
9670,2984.0,Salary,2000-09-13,2000
9758,-5784.0,Groceries,2000-09-16,2000
3054,2154.0,Tips,2000-09-17,2000
2302,8725.0,Other,2000-09-17,2000
7508,-881.0,Groceries,2000-09-18,2000
1462,5986.0,Tips,2000-09-19,2000
1156,7374.0,Salary,2000-09-20,2000
321,8483.0,Other,2000-09-20,2000
1583,2345.0,Salary,2000-09-20,2000
994,-3343.0,Leisure,2000-09-21,2000
1384,-485.0,Subscriptions,2000-09-23,2000
1820,-2566.0,Subscriptions,2000-09-24,2000
8548,9861.0,Other,2000-09-24,2000
7177,-4252.0,Subscriptions,2000-09-24,2000
7254,-1422.0,Leisure,2000-09-25,2000
4964,680.0,Other,2000-09-27,2000
6891,5632.0,Tips,2000-09-28,2000
1367,-6681.0,Groceries,2000-09-28,2000
1087,7587.0,Tips,2000-09-30,2000
6508,4404.0,Other,2000-09-30,2000
6649,4958.0,Other,2000-10-01,2000
5436,-8691.0,Health Insurance,2000-10-01,2000
1918,592.0,Tips,2000-10-02,2000
6379,-3913.0,Food,2000-10-07,2000
8993,2147.0,Other,2000-10-07,2000
6470,1377.0,Salary,2000-10-07,2000
4014,-1666.0,Groceries,2000-10-08,2000
8904,504.0,Tips,2000-10-10,2000
1345,-8361.0,Food,2000-10-10,2000
7262,1698.0,Tips,2000-10-11,2000
334,-3052.0,Subscriptions,2000-10-11,2000
6210,9234.0,Salary,2000-10-12,2000
6381,-7798.0,Subscriptions,2000-10-12,2000
9657,7456.0,Other,2000-10-12,2000
3766,8951.0,Other,2000-10-12,2000
8888,1211.0,Other,2000-10-12,2000
9425,3626.0,Other,2000-10-12,2000
2385,9744.0,Tips,2000-10-14,2000
1433,4643.0,Salary,2000-10-14,2000
2647,-1169.0,Investments,2000-10-15,2000
341,9961.0,Other,2000-10-15,2000
6790,1803.0,Other,2000-10-15,2000
8491,-1392.0,Health Insurance,2000-10-17,2000
1730,-9739.0,Leisure,2000-10-17,2000
5537,-3049.0,Groceries,2000-10-17,2000
2733,-279.0,Groceries,2000-10-17,2000
1217,-3714.0,Food,2000-10-18,2000
3210,3537.0,Tips,2000-10-20,2000
2579,-8953.0,Subscriptions,2000-10-21,2000
5529,7705.0,Tips,2000-10-21,2000
8522,5466.0,Salary,2000-10-24,2000
5237,9684.0,Salary,2000-10-24,2000
3361,3792.0,Other,2000-10-24,2000
1162,9020.0,Tips,2000-10-25,2000
1152,-6503.0,Investments,2000-10-25,2000
6572,7116.0,Other,2000-10-26,2000
8162,8591.0,Salary,2000-10-27,2000
7854,-4784.0,Food,2000-10-28,2000
2164,-5307.0,Groceries,2000-10-28,2000
1347,-3186.0,Groceries,2000-10-29,2000
1633,6299.0,Other,2000-10-29,2000
7981,-4805.0,Subscriptions,2000-10-29,2000
7930,2425.0,Tips,2000-10-29,2000
168,-4554.0,Groceries,2000-10-31,2000
3185,1916.0,Other,2000-10-31,2000
5659,2134.0,Salary,2000-10-31,2000
8907,8746.0,Salary,2000-11-03,2000
7230,-2448.0,Health Insurance,2000-11-04,2000
4061,-4797.0,Subscriptions,2000-11-04,2000
7253,-3408.0,Investments,2000-11-04,2000
9651,-3976.0,Leisure,2000-11-07,2000
5715,-6116.0,Investments,2000-11-12,2000
4345,-265.0,Leisure,2000-11-13,2000
9219,-8540.0,Leisure,2000-11-14,2000
8405,279.0,Salary,2000-11-15,2000
2359,-765.0,Subscriptions,2000-11-16,2000
2696,-6025.0,Health Insurance,2000-11-16,2000
9399,6723.0,Other,2000-11-17,2000
9848,-5815.0,Health Insurance,2000-11-17,2000
1155,-2898.0,Food,2000-11-18,2000
7447,-779.0,Health Insurance,2000-11-21,2000
7343,-1401.0,Subscriptions,2000-11-23,2000
3724,-1454.0,Leisure,2000-11-24,2000
4779,-2639.0,Groceries,2000-11-24,2000
4178,5098.0,Tips,2000-11-25,2000
9947,-9396.0,Leisure,2000-11-25,2000
8745,-8349.0,Subscriptions,2000-11-27,2000
2494,4429.0,Salary,2000-11-27,2000
7120,-5251.0,Groceries,2000-11-28,2000
1252,2422.0,Tips,2000-11-28,2000
9452,-9033.0,Leisure,2000-11-29,2000
3146,-2372.0,Groceries,2000-11-30,2000
3872,4920.0,Tips,2000-11-30,2000
397,9370.0,Salary,2000-11-30,2000
3732,-4272.0,Investments,2000-12-02,2000
577,-3523.0,Food,2000-12-02,2000
7111,6228.0,Tips,2000-12-03,2000
7411,-889.0,Food,2000-12-05,2000
5633,-2309.0,Food,2000-12-06,2000
7355,-8877.0,Food,2000-12-07,2000
999,2069.0,Other,2000-12-07,2000
7976,-5481.0,Food,2000-12-09,2000
3312,4091.0,Other,2000-12-09,2000
8923,439.0,Other,2000-12-09,2000
1494,-2760.0,Health Insurance,2000-12-09,2000
8778,6518.0,Tips,2000-12-09,2000
6023,5548.0,Tips,2000-12-10,2000
5997,3290.0,Other,2000-12-10,2000
9423,-4140.0,Subscriptions,2000-12-10,2000
41,-1803.0,Health Insurance,2000-12-12,2000
4571,-6818.0,Food,2000-12-12,2000
7509,-7979.0,Groceries,2000-12-13,2000
4224,5095.0,Tips,2000-12-13,2000
9311,7099.0,Salary,2000-12-14,2000
2466,-5518.0,Food,2000-12-14,2000
3178,1755.0,Tips,2000-12-14,2000
1360,-7020.0,Investments,2000-12-14,2000
702,4098.0,Tips,2000-12-18,2000
1522,-7825.0,Food,2000-12-19,2000
229,-1979.0,Investments,2000-12-22,2000
3463,-7820.0,Investments,2000-12-23,2000
7936,7260.0,Salary,2000-12-23,2000
643,6103.0,Other,2000-12-23,2000
8516,9298.0,Tips,2000-12-23,2000
5539,-1591.0,Food,2000-12-24,2000
8692,-2936.0,Health Insurance,2000-12-24,2000
2018,9201.0,Salary,2000-12-24,2000
9838,-9779.0,Health Insurance,2000-12-25,2000
1196,-4640.0,Groceries,2000-12-26,2000
6230,-8324.0,Investments,2000-12-26,2000
8108,8085.0,Salary,2000-12-27,2000
4563,-1753.0,Leisure,2000-12-27,2000
4027,5546.0,Other,2000-12-29,2000
7360,-9593.0,Food,2000-12-30,2000
4942,9809.0,Salary,2000-12-30,2000
293,-1578.0,Health Insurance,2001-01-02,2001
771,-4117.0,Groceries,2001-01-02,2001
8347,-2969.0,Groceries,2001-01-02,2001
2503,5865.0,Tips,2001-01-04,2001
5458,6308.0,Other,2001-01-05,2001
7166,7875.0,Other,2001-01-07,2001
2026,-5431.0,Investments,2001-01-07,2001
8090,-1928.0,Investments,2001-01-08,2001
5504,6909.0,Other,2001-01-08,2001
2015,5241.0,Salary,2001-01-08,2001
4309,2833.0,Tips,2001-01-09,2001
1931,4156.0,Tips,2001-01-09,2001
9238,-3832.0,Groceries,2001-01-12,2001
6489,7897.0,Other,2001-01-13,2001
793,-628.0,Leisure,2001-01-13,2001
4088,7805.0,Salary,2001-01-14,2001
3386,2004.0,Tips,2001-01-15,2001
8191,-1963.0,Investments,2001-01-15,2001
2753,4537.0,Other,2001-01-16,2001
5244,-4204.0,Investments,2001-01-16,2001
857,-304.0,Groceries,2001-01-18,2001
9832,-9623.0,Groceries,2001-01-18,2001
3188,-542.0,Leisure,2001-01-18,2001
9370,8489.0,Tips,2001-01-19,2001
7813,2962.0,Tips,2001-01-19,2001
630,-9385.0,Investments,2001-01-20,2001
460,-1324.0,Subscriptions,2001-01-22,2001
9217,-9043.0,Investments,2001-01-23,2001
9113,-8071.0,Investments,2001-01-23,2001
4866,8471.0,Salary,2001-01-24,2001
8647,-5280.0,Food,2001-01-25,2001
4123,6006.0,Salary,2001-01-25,2001
2547,-6115.0,Leisure,2001-01-26,2001
4303,4328.0,Tips,2001-01-26,2001
1322,3411.0,Tips,2001-01-27,2001
8472,-746.0,Health Insurance,2001-01-29,2001
4206,490.0,Other,2001-01-29,2001
8982,3709.0,Other,2001-01-30,2001
9928,7790.0,Other,2001-01-31,2001
6874,-1144.0,Subscriptions,2001-01-31,2001
322,181.0,Tips,2001-02-01,2001
5586,6964.0,Other,2001-02-01,2001
8908,4797.0,Tips,2001-02-02,2001
476,1034.0,Tips,2001-02-02,2001
9742,-7458.0,Leisure,2001-02-02,2001
3746,6741.0,Other,2001-02-03,2001
3004,-3097.0,Subscriptions,2001-02-04,2001
6452,5179.0,Other,2001-02-05,2001
803,3419.0,Other,2001-02-05,2001
161,6049.0,Salary,2001-02-06,2001
8288,-8385.0,Investments,2001-02-06,2001
2716,-1278.0,Health Insurance,2001-02-07,2001
5952,-1835.0,Investments,2001-02-07,2001
4460,-8714.0,Investments,2001-02-07,2001
5006,-7068.0,Investments,2001-02-07,2001
2943,9143.0,Salary,2001-02-08,2001
5461,335.0,Tips,2001-02-08,2001
9272,1997.0,Other,2001-02-08,2001
1708,-5670.0,Subscriptions,2001-02-08,2001
6749,4682.0,Salary,2001-02-12,2001
7469,6605.0,Tips,2001-02-12,2001
4920,6222.0,Tips,2001-02-14,2001
6282,7062.0,Salary,2001-02-15,2001
304,-1922.0,Investments,2001-02-16,2001
9087,-4699.0,Investments,2001-02-16,2001
7306,6852.0,Salary,2001-02-16,2001
6552,-7672.0,Food,2001-02-16,2001
878,-920.0,Groceries,2001-02-17,2001
4319,-8805.0,Investments,2001-02-17,2001
6991,-5504.0,Food,2001-02-20,2001
7463,-9720.0,Food,2001-02-21,2001
3914,-3663.0,Subscriptions,2001-02-21,2001
3069,1345.0,Salary,2001-02-22,2001
6853,-7683.0,Subscriptions,2001-02-22,2001
713,-6972.0,Investments,2001-02-23,2001
4536,-3192.0,Food,2001-02-23,2001
5197,-4855.0,Groceries,2001-02-23,2001
3283,-8468.0,Subscriptions,2001-02-26,2001
5795,-601.0,Food,2001-02-27,2001
102,-9127.0,Food,2001-02-28,2001
8593,-5824.0,Health Insurance,2001-03-03,2001
2399,-6939.0,Leisure,2001-03-04,2001
8418,-4672.0,Food,2001-03-05,2001
8352,1169.0,Salary,2001-03-05,2001
6084,-5248.0,Investments,2001-03-07,2001
2572,-1174.0,Leisure,2001-03-07,2001
1380,-2863.0,Investments,2001-03-07,2001
8077,6452.0,Salary,2001-03-08,2001
9944,668.0,Other,2001-03-09,2001
7678,7698.0,Tips,2001-03-09,2001
7974,-869.0,Leisure,2001-03-10,2001
7857,7304.0,Other,2001-03-11,2001
8020,-9100.0,Investments,2001-03-12,2001
975,-5380.0,Leisure,2001-03-12,2001
2168,9779.0,Salary,2001-03-12,2001
5176,-5027.0,Groceries,2001-03-12,2001
4328,5683.0,Salary,2001-03-13,2001
3236,-5677.0,Investments,2001-03-14,2001
7800,-3774.0,Subscriptions,2001-03-14,2001
3714,5444.0,Other,2001-03-16,2001
513,1456.0,Other,2001-03-16,2001
1363,-61.0,Leisure,2001-03-16,2001
1408,-9824.0,Food,2001-03-16,2001
2393,-9011.0,Leisure,2001-03-17,2001
9401,6335.0,Other,2001-03-19,2001
3997,413.0,Other,2001-03-21,2001
428,-7167.0,Health Insurance,2001-03-23,2001
7454,2620.0,Other,2001-03-24,2001
5950,-5579.0,Leisure,2001-03-24,2001
4908,5123.0,Salary,2001-03-25,2001
2094,5584.0,Salary,2001-03-26,2001
5266,-2004.0,Health Insurance,2001-03-27,2001
4850,-4358.0,Subscriptions,2001-03-27,2001
5690,1932.0,Tips,2001-03-28,2001
6330,-4553.0,Health Insurance,2001-03-28,2001
3228,-6859.0,Health Insurance,2001-03-29,2001
6902,5744.0,Salary,2001-03-29,2001
2357,-553.0,Subscriptions,2001-03-30,2001
5489,8994.0,Other,2001-03-31,2001
8980,1297.0,Salary,2001-04-01,2001
6993,-8672.0,Leisure,2001-04-01,2001
8965,-3726.0,Subscriptions,2001-04-02,2001
9209,2991.0,Tips,2001-04-03,2001
7563,-2610.0,Leisure,2001-04-04,2001
5846,8708.0,Other,2001-04-05,2001
6243,8476.0,Tips,2001-04-06,2001
6304,4890.0,Salary,2001-04-06,2001
7089,-7780.0,Leisure,2001-04-06,2001
8114,3026.0,Salary,2001-04-06,2001
2362,7133.0,Tips,2001-04-06,2001
1811,1858.0,Other,2001-04-08,2001
9980,6371.0,Salary,2001-04-08,2001
5985,3916.0,Tips,2001-04-08,2001
6694,2006.0,Salary,2001-04-08,2001
6944,-9802.0,Leisure,2001-04-09,2001
6921,2484.0,Salary,2001-04-10,2001
1281,9721.0,Salary,2001-04-10,2001
655,1833.0,Other,2001-04-11,2001
6815,9400.0,Tips,2001-04-13,2001
9578,9161.0,Other,2001-04-13,2001
1998,-8007.0,Subscriptions,2001-04-14,2001
1521,7397.0,Salary,2001-04-14,2001
8018,6357.0,Salary,2001-04-18,2001
1808,8777.0,Salary,2001-04-19,2001
5385,5072.0,Salary,2001-04-20,2001
4705,-4388.0,Health Insurance,2001-04-20,2001
604,6104.0,Salary,2001-04-20,2001
5858,-710.0,Health Insurance,2001-04-21,2001
6182,-3212.0,Leisure,2001-04-24,2001
106,8511.0,Tips,2001-04-25,2001
7241,2627.0,Salary,2001-04-26,2001
1638,-5920.0,Investments,2001-04-26,2001
2054,6087.0,Salary,2001-04-27,2001
1792,7538.0,Other,2001-04-27,2001
2003,1463.0,Salary,2001-04-27,2001
2182,-7906.0,Groceries,2001-04-30,2001
1046,1230.0,Tips,2001-05-02,2001
9916,-4456.0,Subscriptions,2001-05-02,2001
7078,-3871.0,Leisure,2001-05-02,2001
4117,-9698.0,Leisure,2001-05-05,2001
9216,368.0,Tips,2001-05-05,2001
8433,-5278.0,Health Insurance,2001-05-06,2001
3147,549.0,Tips,2001-05-07,2001
6729,3277.0,Other,2001-05-08,2001
6732,-5795.0,Leisure,2001-05-08,2001
1359,6577.0,Salary,2001-05-09,2001
1683,-4570.0,Subscriptions,2001-05-09,2001
5783,-4650.0,Subscriptions,2001-05-10,2001
3234,6035.0,Other,2001-05-11,2001
1286,5544.0,Tips,2001-05-11,2001
6723,2679.0,Salary,2001-05-12,2001
9739,8472.0,Tips,2001-05-14,2001
3629,275.0,Salary,2001-05-14,2001
8475,-7321.0,Leisure,2001-05-15,2001
4368,-2056.0,Leisure,2001-05-15,2001
3762,9086.0,Other,2001-05-15,2001
5888,4140.0,Salary,2001-05-16,2001
548,-3244.0,Food,2001-05-17,2001
2743,6601.0,Tips,2001-05-18,2001
9183,5122.0,Other,2001-05-19,2001
2997,1541.0,Other,2001-05-19,2001
2766,4032.0,Other,2001-05-19,2001
5449,-6982.0,Health Insurance,2001-05-20,2001
9982,5471.0,Tips,2001-05-20,2001
1935,4609.0,Tips,2001-05-21,2001
2261,5229.0,Other,2001-05-22,2001
8896,3915.0,Tips,2001-05-23,2001
82,1067.0,Salary,2001-05-24,2001
9174,-2717.0,Leisure,2001-05-24,2001
296,9856.0,Salary,2001-05-25,2001
3314,-4174.0,Leisure,2001-05-25,2001
259,919.0,Tips,2001-05-26,2001
2895,4586.0,Other,2001-05-28,2001
7635,-2531.0,Food,2001-05-30,2001
2776,4762.0,Salary,2001-06-01,2001
9120,-8898.0,Investments,2001-06-02,2001
2132,8537.0,Other,2001-06-03,2001
9586,5159.0,Salary,2001-06-03,2001
4101,5159.0,Salary,2001-06-03,2001
7881,-7130.0,Investments,2001-06-03,2001
