reference,amount,type,date
6373,-3997.0,Groceries,2000-03-23
5121,1736.0,Salary,2000-03-23
7803,-4195.0,Health Insurance,2000-03-23
4593,4911.0,Salary,2000-03-24
6484,1764.0,Salary,2000-03-25
1754,-4617.0,Subscriptions,2000-03-25
1356,5240.0,Other,2000-03-25
9656,4309.0,Salary,2000-03-27
282,5887.0,Salary,2000-03-27
5902,8100.0,Tips,2000-03-27
4494,-6792.0,Investments,2000-03-29
4884,-1415.0,Leisure,2000-03-29
4331,5439.0,Salary,2000-03-29
2769,7103.0,Other,2000-03-31
8773,-8486.0,Leisure,2000-03-31
349,8550.0,Tips,2000-03-31
3086,-8933.0,Leisure,2000-04-01
9991,8998.0,Other,2000-04-02
2628,1123.0,Salary,2000-04-02
706,5307.0,Other,2000-04-02
8457,-4165.0,Investments,2000-04-02
1427,-392.0,Leisure,2000-04-02
7156,-1304.0,Food,2000-04-03
4015,-5583.0,Subscriptions,2000-04-03
6903,-683.0,Groceries,2000-04-03
5222,-391.0,Subscriptions,2000-04-04
6807,-3254.0,Subscriptions,2000-04-04
1205,8706.0,Tips,2000-04-04
4630,6192.0,Salary,2000-04-05
4164,5616.0,Tips,2000-04-05
9159,-1981.0,Investments,2000-04-05
4721,-2208.0,Food,2000-04-05
3220,8162.0,Salary,2000-04-05
2373,-4915.0,Food,2000-04-05
8917,5817.0,Salary,2000-04-06
296,-6348.0,Investments,2000-04-06
2066,5782.0,Other,2000-04-07
2999,1083.0,Salary,2000-04-07
4828,-5467.0,Leisure,2000-04-08
2922,9197.0,Salary,2000-04-08
2552,-1151.0,Investments,2000-04-08
908,8189.0,Other,2000-04-08
43,5685.0,Tips,2000-04-08
8169,9376.0,Tips,2000-04-08
2054,-8754.0,Investments,2000-04-09
7200,6029.0,Other,2000-04-09
5499,4488.0,Other,2000-04-09
8057,7643.0,Salary,2000-04-09
9735,6642.0,Other,2000-04-10
2039,6305.0,Other,2000-04-10
5789,7035.0,Other,2000-04-11
2695,714.0,Salary,2000-04-11
4590,8087.0,Tips,2000-04-12
7016,-7315.0,Groceries,2000-04-12
8299,5972.0,Tips,2000-04-12
9484,-8155.0,Groceries,2000-04-13
9481,6234.0,Salary,2000-04-13
5117,7206.0,Salary,2000-04-13
5288,-3799.0,Subscriptions,2000-04-14
8066,-5127.0,Groceries,2000-04-14
6715,-2325.0,Investments,2000-04-15
8058,3626.0,Salary,2000-04-15
8802,-2476.0,Health Insurance,2000-04-15
1161,2652.0,Salary,2000-04-16
5152,3103.0,Salary,2000-04-16
8676,2334.0,Salary,2000-04-17
2651,6903.0,Salary,2000-04-18
1157,-5329.0,Leisure,2000-04-18
7221,2872.0,Salary,2000-04-19
9156,879.0,Salary,2000-04-19
7646,-6636.0,Health Insurance,2000-04-20
2684,8381.0,Tips,2000-04-20
3694,-4881.0,Subscriptions,2000-04-21
6011,-9098.0,Food,2000-04-22
2890,-7969.0,Groceries,2000-04-23
8715,1482.0,Tips,2000-04-23
8203,4209.0,Salary,2000-04-23
2252,-6624.0,Health Insurance,2000-04-23
3962,-1773.0,Leisure,2000-04-24
7546,9486.0,Other,2000-04-24
6766,9571.0,Tips,2000-04-25
8655,-3107.0,Groceries,2000-04-26
1708,3414.0,Salary,2000-04-26
2056,9695.0,Salary,2000-04-27
6091,8433.0,Other,2000-04-27
5379,7834.0,Salary,2000-04-28
4524,6821.0,Salary,2000-04-28
299,70.0,Salary,2000-04-28
2707,-3078.0,Investments,2000-04-29
1580,562.0,Other,2000-04-29
2081,2319.0,Salary,2000-04-30
1415,2776.0,Tips,2000-04-30
1324,-1006.0,Health Insurance,2000-04-30
784,9069.0,Other,2000-04-30
4930,3057.0,Tips,2000-05-01
6379,-6231.0,Investments,2000-05-01
2422,-5854.0,Food,2000-05-01
3752,5360.0,Salary,2000-05-01
1860,-1344.0,Health Insurance,2000-05-02
6473,68.0,Other,2000-05-03
2705,5859.0,Salary,2000-05-03
6237,-242.0,Leisure,2000-05-04
3492,7257.0,Salary,2000-05-05
7736,5250.0,Tips,2000-05-05
1993,-528.0,Subscriptions,2000-05-05
4475,-2707.0,Leisure,2000-05-05
3018,-2739.0,Groceries,2000-05-06
5443,-1597.0,Groceries,2000-05-07
9096,2423.0,Salary,2000-05-08
576,-2726.0,Food,2000-05-09
769,6699.0,Tips,2000-05-09
8274,9997.0,Tips,2000-05-09
2555,-6870.0,Subscriptions,2000-05-09
8481,8557.0,Other,2000-05-10
9385,7945.0,Other,2000-05-10
2178,-1264.0,Health Insurance,2000-05-11
4214,-7657.0,Groceries,2000-05-12
7962,-3009.0,Health Insurance,2000-05-12
8238,-2368.0,Investments,2000-05-12
69,-1305.0,Subscriptions,2000-05-13
3226,-6252.0,Groceries,2000-05-13
6888,-2284.0,Subscriptions,2000-05-14
8583,-2458.0,Leisure,2000-05-14
8578,-2565.0,Subscriptions,2000-05-14
948,-8737.0,Leisure,2000-05-15
2608,3506.0,Other,2000-05-16
4526,8374.0,Other,2000-05-16
3608,-368.0,Health Insurance,2000-05-17
3358,-2478.0,Subscriptions,2000-05-17
1709,-2164.0,Food,2000-05-17
2669,6127.0,Salary,2000-05-17
3603,3527.0,Tips,2000-05-18
5609,-9133.0,Groceries,2000-05-18
1220,3042.0,Tips,2000-05-19
7671,-6866.0,Food,2000-05-19
9381,9518.0,Salary,2000-05-19
8720,-8645.0,Investments,2000-05-19
2667,7801.0,Other,2000-05-19
1228,9509.0,Other,2000-05-20
2637,3985.0,Salary,2000-05-20
1396,-8175.0,Health Insurance,2000-05-20
3995,637.0,Tips,2000-05-20
9841,-4719.0,Investments,2000-05-20
8944,-3395.0,Food,2000-05-20
8698,-4137.0,Leisure,2000-05-21
2374,3476.0,Tips,2000-05-22
9567,-8646.0,Investments,2000-05-22
7032,-1750.0,Groceries,2000-05-22
9913,-4560.0,Health Insurance,2000-05-22
8162,-9305.0,Food,2000-05-22
4302,9625.0,Salary,2000-05-22
7043,-3976.0,Subscriptions,2000-05-23
3714,-8194.0,Investments,2000-05-23
7893,-2696.0,Groceries,2000-05-23
4085,-1427.0,Health Insurance,2000-05-23
314,3150.0,Salary,2000-05-23
5514,2339.0,Salary,2000-05-24
3415,-13.0,Food,2000-05-24
9567,4504.0,Tips,2000-05-24
9061,6949.0,Salary,2000-05-24
102,-710.0,Investments,2000-05-25
4760,-1282.0,Health Insurance,2000-05-25
5775,6765.0,Salary,2000-05-25
2034,-4145.0,Leisure,2000-05-25
2205,8549.0,Other,2000-05-25
7028,-3697.0,Investments,2000-05-26
7435,-8335.0,Food,2000-05-27
5674,-5002.0,Food,2000-05-27
1119,3480.0,Tips,2000-05-27
6306,-677.0,Food,2000-05-27
8907,-2310.0,Investments,2000-05-28
7663,-2382.0,Subscriptions,2000-05-29
5947,5781.0,Salary,2000-05-29
8982,-6440.0,Food,2000-05-30
1312,9080.0,Salary,2000-05-30
7197,4186.0,Salary,2000-05-31
5861,-6883.0,Subscriptions,2000-05-31
4490,-9600.0,Investments,2000-05-31
8806,3327.0,Other,2000-06-01
979,7165.0,Other,2000-06-01
2941,6058.0,Salary,2000-06-01
3126,-3076.0,Food,2000-06-01
5251,8573.0,Tips,2000-06-01
7826,-7286.0,Subscriptions,2000-06-02
4199,-789.0,Investments,2000-06-04
837,1129.0,Tips,2000-06-04
738,-4348.0,Leisure,2000-06-05
5253,1325.0,Other,2000-06-05
3917,-2376.0,Leisure,2000-06-06
6777,8111.0,Tips,2000-06-06
2293,-9649.0,Food,2000-06-07
2933,-4249.0,Groceries,2000-06-07
5195,8060.0,Other,2000-06-07
822,-5899.0,Groceries,2000-06-07
6191,-710.0,Groceries,2000-06-07
4463,-4932.0,Investments,2000-06-08
2542,9246.0,Other,2000-06-09
3119,4011.0,Salary,2000-06-09
8036,5125.0,Tips,2000-06-09
9757,-7454.0,Food,2000-06-09
3184,2021.0,Other,2000-06-09
8071,3071.0,Other,2000-06-09
8541,-1011.0,Investments,2000-06-09
759,-7800.0,Food,2000-06-10
9734,1193.0,Salary,2000-06-11
6750,7007.0,Other,2000-06-11
3385,3082.0,Salary,2000-06-11
5634,8216.0,Salary,2000-06-11
9446,4303.0,Salary,2000-06-13
2050,-1795.0,Food,2000-06-13
4042,4537.0,Salary,2000-06-13
8993,-1168.0,Subscriptions,2000-06-13
6275,8168.0,Salary,2000-06-13
7702,7190.0,Tips,2000-06-14
9913,3675.0,Salary,2000-06-14
8796,-135.0,Subscriptions,2000-06-15
3495,6323.0,Tips,2000-06-15
1183,-5482.0,Subscriptions,2000-06-15
3796,-7703.0,Groceries,2000-06-15
2243,-866.0,Leisure,2000-06-15
1808,-1517.0,Investments,2000-06-16
9339,-8228.0,Investments,2000-06-16
1604,-5128.0,Subscriptions,2000-06-16
2332,-1446.0,Food,2000-06-17
298,-9648.0,Health Insurance,2000-06-17
1869,-7187.0,Subscriptions,2000-06-18
6288,-9020.0,Groceries,2000-06-19
3242,8922.0,Salary,2000-06-19
3364,8510.0,Other,2000-06-19
6590,2576.0,Other,2000-06-21
5819,2047.0,Tips,2000-06-21
1345,4612.0,Salary,2000-06-21
6270,-2887.0,Health Insurance,2000-06-22
4031,-3936.0,Food,2000-06-23
5039,2933.0,Other,2000-06-23
7496,9815.0,Salary,2000-06-23
3339,5717.0,Tips,2000-06-24
3561,9898.0,Tips,2000-06-24
9657,-2425.0,Leisure,2000-06-24
7192,8448.0,Other,2000-06-25
5487,4477.0,Salary,2000-06-25
1039,-7086.0,Subscriptions,2000-06-25
2530,-3444.0,Leisure,2000-06-27
1659,7430.0,Other,2000-06-27
6705,372.0,Tips,2000-06-27
8290,3663.0,Salary,2000-06-27
8448,8662.0,Salary,2000-06-28
429,5742.0,Tips,2000-06-28
5054,-612.0,Investments,2000-06-29
2953,3076.0,Salary,2000-06-29
7003,3241.0,Tips,2000-06-30
7282,-5893.0,Groceries,2000-06-30
8393,-7314.0,Health Insurance,2000-06-30
1813,-9360.0,Investments,2000-06-30
6823,2982.0,Salary,2000-06-30
7280,-7239.0,Subscriptions,2000-07-01
6014,8507.0,Other,2000-07-01
1906,1125.0,Tips,2000-07-02
8378,-624.0,Health Insurance,2000-07-02
84,-8293.0,Investments,2000-07-02
5355,3373.0,Tips,2000-07-03
1903,-8643.0,Subscriptions,2000-07-03
5882,-5558.0,Leisure,2000-07-03
1508,9742.0,Other,2000-07-03
3967,8999.0,Tips,2000-07-05
8240,-876.0,Food,2000-07-05
2011,-3121.0,Groceries,2000-07-05
591,7651.0,Other,2000-07-05
9466,-2308.0,Food,2000-07-07
9045,1852.0,Other,2000-07-07
8603,-1342.0,Leisure,2000-07-07
5900,-3638.0,Groceries,2000-07-08
9594,-5432.0,Investments,2000-07-08
8759,5397.0,Salary,2000-07-08
4120,4687.0,Salary,2000-07-08
1685,6783.0,Other,2000-07-08
5192,4544.0,Salary,2000-07-09
8331,6699.0,Other,2000-07-10
6405,1650.0,Other,2000-07-10
3885,-7487.0,Leisure,2000-07-10
206,6357.0,Salary,2000-07-11
5332,-3881.0,Food,2000-07-12
7350,-808.0,Investments,2000-07-12
1673,-9722.0,Food,2000-07-13
1706,3641.0,Salary,2000-07-13
275,3177.0,Tips,2000-07-13
8023,1314.0,Salary,2000-07-14
9073,-4866.0,Health Insurance,2000-07-14
1679,2921.0,Other,2000-07-14
8692,-8483.0,Leisure,2000-07-15
694,-9865.0,Food,2000-07-16
8151,1002.0,Other,2000-07-16
3737,-7956.0,Food,2000-07-16
5693,6035.0,Tips,2000-07-16
9944,-5098.0,Health Insurance,2000-07-17
1711,-6653.0,Health Insurance,2000-07-17
7930,2429.0,Other,2000-07-18
3324,-5572.0,Investments,2000-07-18
7319,-8154.0,Subscriptions,2000-07-18
7875,1324.0,Other,2000-07-19
9620,7948.0,Tips,2000-07-20
1118,4638.0,Salary,2000-07-20
4224,3313.0,Salary,2000-07-20
1258,-2760.0,Groceries,2000-07-21
3772,-6359.0,Subscriptions,2000-07-22
9133,1714.0,Salary,2000-07-22
3641,-6550.0,Groceries,2000-07-22
4611,7692.0,Other,2000-07-23
5688,-6880.0,Subscriptions,2000-07-23
4003,4913.0,Salary,2000-07-23
5349,-1309.0,Subscriptions,2000-07-23
3384,-83.0,Leisure,2000-07-23
2259,-5053.0,Groceries,2000-07-25
3604,-9969.0,Groceries,2000-07-25
1303,4148.0,Tips,2000-07-25
7468,3075.0,Other,2000-07-25
6433,7007.0,Tips,2000-07-27
9761,3625.0,Other,2000-07-27
1253,4683.0,Tips,2000-07-27
1920,-4237.0,Subscriptions,2000-07-27
5050,-9275.0,Health Insurance,2000-07-28
8577,9496.0,Tips,2000-07-28
580,7687.0,Salary,2000-07-28
9428,-5748.0,Leisure,2000-07-29
6292,-809.0,Food,2000-07-29
1937,-3278.0,Subscriptions,2000-07-29
3427,-6533.0,Food,2000-07-29
5746,6757.0,Salary,2000-07-29
8953,-2331.0,Groceries,2000-07-30
2206,-5223.0,Subscriptions,2000-07-30
3606,-8406.0,Investments,2000-07-30
5339,-2442.0,Leisure,2000-07-30
3032,-3018.0,Leisure,2000-07-30
4635,-4111.0,Subscriptions,2000-07-31
4989,-8552.0,Groceries,2000-08-03
1108,8543.0,Salary,2000-08-05
9000,-4421.0,Health Insurance,2000-08-06
1765,9836.0,Other,2000-08-06
9059,-5760.0,Food,2000-08-07
8633,9722.0,Salary,2000-08-08
2774,6162.0,Other,2000-08-09
3423,-2855.0,Food,2000-08-09
2644,-7498.0,Health Insurance,2000-08-09
5604,-9997.0,Groceries,2000-08-09
9455,4871.0,Tips,2000-08-09
652,6612.0,Tips,2000-08-09
7947,-8850.0,Health Insurance,2000-08-10
3856,3237.0,Tips,2000-08-10
3284,-1328.0,Health Insurance,2000-08-10
9878,4552.0,Salary,2000-08-10
6816,4512.0,Tips,2000-08-12
9439,1418.0,Salary,2000-08-12
9435,4378.0,Other,2000-08-13
8308,-8342.0,Leisure,2000-08-13
7722,8170.0,Tips,2000-08-13
3910,5915.0,Tips,2000-08-13
5459,-7458.0,Health Insurance,2000-08-13
7176,-4022.0,Health Insurance,2000-08-13
9771,6763.0,Salary,2000-08-14
4143,-5820.0,Health Insurance,2000-08-14
3438,-860.0,Investments,2000-08-14
2068,9910.0,Salary,2000-08-14
5514,-1386.0,Health Insurance,2000-08-14
3327,-4809.0,Subscriptions,2000-08-15
1279,-2963.0,Investments,2000-08-16
7433,1675.0,Tips,2000-08-17
6341,-3989.0,Food,2000-08-17
3835,-9729.0,Subscriptions,2000-08-18
9493,-7877.0,Subscriptions,2000-08-19
1538,-7866.0,Health Insurance,2000-08-19
7100,1015.0,Salary,2000-08-19
7489,317.0,Salary,2000-08-19
841,-5822.0,Food,2000-08-19
5086,-4274.0,Groceries,2000-08-20
8324,-981.0,Leisure,2000-08-20
6217,-5820.0,Investments,2000-08-20
7294,6558.0,Tips,2000-08-21
8294,-7341.0,Food,2000-08-21
1863,-154.0,Health Insurance,2000-08-22
7519,8618.0,Other,2000-08-22
7022,5809.0,Tips,2000-08-23
7665,1622.0,Salary,2000-08-23
7585,-5281.0,Groceries,2000-08-23
4846,9635.0,Tips,2000-08-24
5371,-6822.0,Investments,2000-08-24
2458,601.0,Salary,2000-08-24
4719,7103.0,Salary,2000-08-24
4933,8442.0,Salary,2000-08-25
8898,-7379.0,Food,2000-08-25
8150,9565.0,Other,2000-08-25
3757,9965.0,Tips,2000-08-26
8928,3421.0,Salary,2000-08-26
2928,-1512.0,Food,2000-08-26
5921,8946.0,Other,2000-08-26
7683,3016.0,Other,2000-08-27
5072,-806.0,Health Insurance,2000-08-27
545,4614.0,Tips,2000-08-28
8683,-3694.0,Health Insurance,2000-08-28
5875,-3072.0,Food,2000-08-29
1669,3192.0,Salary,2000-08-29
3014,-8539.0,Health Insurance,2000-08-29
472,9063.0,Salary,2000-08-30
6546,-7742.0,Health Insurance,2000-08-30
5680,6637.0,Other,2000-08-31
6854,-5269.0,Groceries,2000-08-31
4697,-7096.0,Subscriptions,2000-09-01
4518,1719.0,Other,2000-09-01
4648,-4245.0,Leisure,2000-09-01
5711,-5304.0,Food,2000-09-02
2341,9555.0,Salary,2000-09-02
2661,2417.0,Other,2000-09-04
5488,-7999.0,Subscriptions,2000-09-04
8132,1087.0,Other,2000-09-04
2758,2671.0,Other,2000-09-05
5828,-1628.0,Subscriptions,2000-09-06
5599,2734.0,Tips,2000-09-07
7069,-8871.0,Investments,2000-09-07
8618,7049.0,Other,2000-09-07
3541,1825.0,Salary,2000-09-08
9210,-3610.0,Health Insurance,2000-09-09
9312,8865.0,Tips,2000-09-09
9173,-5288.0,Food,2000-09-09
8265,8957.0,Salary,2000-09-09
9144,8581.0,Other,2000-09-12
5722,3668.0,Salary,2000-09-12
7079,2238.0,Other,2000-09-13
2536,-5922.0,Health Insurance,2000-09-13
2808,4756.0,Salary,2000-09-15
4200,2356.0,Tips,2000-09-15
1037,-2152.0,Food,2000-09-16
4250,-9325.0,Leisure,2000-09-16
2168,-135.0,Subscriptions,2000-09-16
5256,-6515.0,Investments,2000-09-17
4903,-2360.0,Groceries,2000-09-17
5120,-1515.0,Health Insurance,2000-09-18
6204,-4770.0,Health Insurance,2000-09-18
5819,5798.0,Tips,2000-09-18
5993,4867.0,Salary,2000-09-19
4969,-4064.0,Investments,2000-09-19
144,9670.0,Other,2000-09-19
6108,-7557.0,Leisure,2000-09-19
848,7613.0,Tips,2000-09-20
5816,-6554.0,Leisure,2000-09-20
7883,2057.0,Salary,2000-09-20
8869,4756.0,Other,2000-09-20
3710,6210.0,Tips,2000-09-20
8874,459.0,Tips,2000-09-20
3049,-6568.0,Health Insurance,2000-09-20
9125,1599.0,Other,2000-09-21
9049,3501.0,Salary,2000-09-21
2136,3791.0,Tips,2000-09-21
1613,-3504.0,Investments,2000-09-22
1848,8523.0,Other,2000-09-22
364,-1168.0,Investments,2000-09-22
6176,-5001.0,Leisure,2000-09-23
5296,-1677.0,Leisure,2000-09-23
2718,2432.0,Salary,2000-09-23
7905,9260.0,Tips,2000-09-23
9269,-1377.0,Food,2000-09-24
3826,-2678.0,Health Insurance,2000-09-24
9842,5217.0,Other,2000-09-24
619,3560.0,Other,2000-09-25
9521,6526.0,Tips,2000-09-25
2575,-8536.0,Food,2000-09-25
8770,7324.0,Salary,2000-09-25
9263,1189.0,Tips,2000-09-26
5267,7311.0,Other,2000-09-26
4405,3869.0,Tips,2000-09-27
9331,-3977.0,Food,2000-09-27
9110,-3748.0,Food,2000-09-27
9115,821.0,Other,2000-09-27
2350,-9430.0,Investments,2000-09-28
6589,8981.0,Tips,2000-09-28
298,-620.0,Health Insurance,2000-09-29
2124,2429.0,Other,2000-09-29
8625,-930.0,Food,2000-09-29
8484,-4914.0,Subscriptions,2000-09-29
2304,-5466.0,Investments,2000-09-30
1953,-442.0,Health Insurance,2000-09-30
1373,-1818.0,Groceries,2000-10-01
8394,6044.0,Salary,2000-10-01
3236,-1374.0,Subscriptions,2000-10-01
363,2667.0,Tips,2000-10-02
9940,-2355.0,Groceries,2000-10-02
2211,-2650.0,Leisure,2000-10-02
9404,8127.0,Salary,2000-10-03
3703,-7583.0,Investments,2000-10-03
6042,3501.0,Other,2000-10-03
